id,web_name,team,now_cost,position,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,points_per_goal,points_per_assist,points_per_clean_sheet,points_per_save,points_per_minute,expected_points,xP_minus_Points,Points_minus_xP,gameweek
3,Xhaka,Arsenal,4.9,Midfielder,90,1,0,0,1,0,0,0,0,0,0,2,32,43.4,16.7,33.0,9.3,1,0.4,0.06,0.46,0.6,9,False,5,3,1,0.0,0.033,7.15,-1.8499999999999996,1.8499999999999996,28
4,Elneny,Arsenal,4.1,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
5,Holding,Arsenal,4.2,Defender,90,0,0,0,1,0,0,0,0,0,0,0,16,20.4,1.3,7.0,2.9,1,0.03,0.01,0.04,0.6,2,False,6,3,4,0.0,0.033,3.18,1.1800000000000002,-1.1800000000000002,28
6,Partey,Arsenal,4.7,Midfielder,90,0,0,0,1,0,0,0,0,0,0,0,14,12.0,20.1,5.0,3.7,1,0.14,0.17,0.31,0.6,2,False,5,3,1,0.0,0.033,4.18,2.1799999999999997,-2.1799999999999997,28
7,Ødegaard,Arsenal,6.9,Midfielder,90,0,0,0,1,0,0,0,0,0,0,0,13,14.0,22.3,18.0,5.4,1,0.25,0.3,0.55,0.6,2,False,5,3,1,0.0,0.033,5.12,3.12,-3.12,28
8,Tierney,Arsenal,4.6,Defender,25,0,1,0,0,0,0,0,0,0,0,0,14,17.8,10.7,2.0,3.1,0,0.0,0.07,0.07,0.34,4,False,6,3,4,0.0,0.033,1.0350000000000001,-2.965,2.965,28
9,Pépé,Arsenal,5.3,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
10,White,Arsenal,4.7,Defender,82,0,1,0,1,0,0,0,0,0,0,0,25,31.2,21.8,10.0,6.3,1,0.0,0.17,0.17,0.42,5,False,6,3,4,0.0,0.033,3.216,-1.7839999999999998,1.7839999999999998,28
11,Nketiah,Arsenal,6.5,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,4,3,0,0.0,0.033,0.0,0.0,0.0,28
12,Smith Rowe,Arsenal,5.6,Midfielder,7,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.3,0.0,0.1,0,0.0,0.01,0.01,0.18,1,False,5,3,1,0.0,0.033,0.261,-0.739,0.739,28
13,Saka,Arsenal,8.6,Midfielder,90,2,1,0,1,0,0,0,0,0,0,3,53,92.4,42.3,65.0,20.0,1,0.27,0.25,0.51,0.6,18,True,5,3,1,0.0,0.033,8.07,-9.93,9.93,28
14,Tomiyasu,Arsenal,4.2,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.0,0.033,0.0,0.0,0.0,28
15,Ramsdale,Arsenal,4.9,Goalkeeper,90,0,0,0,1,0,0,0,0,0,3,0,13,27.6,0.0,0.0,2.8,1,0.0,0.0,0.0,0.6,3,False,6,3,4,0.33,0.033,3.96,0.96,-0.96,28
16,Gabriel,Arsenal,5.2,Defender,85,0,0,0,1,0,0,0,0,0,0,0,14,15.2,12.8,2.0,3.0,1,0.0,0.02,0.02,0.42,2,False,6,3,4,0.0,0.033,2.865,0.8650000000000002,-0.8650000000000002,28
17,Tavares,Arsenal,4.5,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.0,0.033,0.0,0.0,0.0,28
19,Martinelli,Arsenal,6.6,Midfielder,82,1,0,0,1,0,0,0,0,0,0,0,25,34.6,4.3,23.0,6.2,1,0.11,0.04,0.15,0.42,7,False,5,3,1,0.0,0.033,3.376,-3.624,3.624,28
20,Pablo Marí,Arsenal,4.5,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.0,0.033,0.0,0.0,0.0,28
22,Torreira,Arsenal,4.5,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
23,Nelson,Arsenal,4.7,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
24,Turner,Arsenal,3.8,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.33,0.033,0.0,0.0,0.0,28
25,Fábio Vieira,Arsenal,5.6,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
26,Saliba,Arsenal,5.2,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.0,0.033,0.0,0.0,0.0,28
27,Marquinhos,Arsenal,4.6,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
28,Jesus,Arsenal,7.9,Forward,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,9.0,0.8,0,0.2,0.01,0.21,0.34,1,False,4,3,0,0.0,0.033,1.6550000000000002,0.6550000000000002,-0.6550000000000002,28
111,Trossard,Arsenal,6.7,Midfielder,64,0,1,0,1,0,0,0,0,0,0,0,19,22.4,44.5,4.0,7.1,1,0.03,0.46,0.5,0.26,5,False,5,3,1,0.0,0.033,3.6420000000000003,-1.3579999999999997,1.3579999999999997,28
130,Jorginho,Arsenal,5.8,Midfielder,7,0,0,0,0,0,0,0,0,0,0,0,2,0.6,0.4,0.0,0.1,0,0.0,0.0,0.0,0.18,1,False,5,3,1,0.0,0.033,0.231,-0.769,0.769,28
313,Zinchenko,Arsenal,5.2,Defender,64,0,0,0,1,0,0,0,0,0,0,0,13,14.2,4.8,2.0,2.1,1,0.03,0.03,0.06,0.26,2,False,6,3,4,0.0,0.033,2.382,0.3820000000000001,-0.3820000000000001,28
607,Smith,Arsenal,4.4,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
630,Nwaneri,Arsenal,4.5,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
631,Sousa,Arsenal,4.0,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.0,0.033,0.0,0.0,0.0,28
655,Hein,Arsenal,3.9,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.33,0.033,0.0,0.0,0.0,28
668,Cozier-Duberry,Arsenal,4.5,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
685,Butler-Oyedeji,Arsenal,4.5,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,4,3,0,0.0,0.033,0.0,0.0,0.0,28
710,Kiwior,Arsenal,4.0,Defender,4,0,0,0,0,0,0,0,0,0,0,0,3,2.8,0.1,0.0,0.3,0,0.0,0.0,0.0,0.18,1,False,6,3,4,0.0,0.033,0.132,-0.868,0.868,28
751,Walters,Arsenal,4.0,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.0,0.033,0.0,0.0,0.0,28
29,Coutinho,Aston Villa,6.6,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
31,Martínez,Aston Villa,4.9,Goalkeeper,90,0,0,1,0,0,0,0,0,0,3,0,28,27.8,0.0,0.0,2.8,1,0.0,0.0,0.0,0.59,7,True,6,3,4,0.33,0.033,7.960000000000001,0.9600000000000009,-0.9600000000000009,28
32,Chambers,Aston Villa,4.2,Defender,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,False,6,3,4,0.0,0.033,0.033,-0.967,0.967,28
33,Digne,Aston Villa,4.6,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.0,0.033,0.0,0.0,0.0,28
34,Traoré,Aston Villa,4.9,Midfielder,25,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.8,7.0,0.7,0,0.12,0.03,0.16,0.17,1,False,5,3,1,0.0,0.033,1.5150000000000001,0.5150000000000001,-0.5150000000000001,28
35,Olsen,Aston Villa,3.9,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.33,0.033,0.0,0.0,0.0,28
36,Sanson,Aston Villa,4.3,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,3,1,0.0,0.033,0.0,0.0,0.0,28
37,McGinn,Aston Villa,5.1,Midfielder,90,0,0,1,0,0,0,0,1,0,0,0,14,10.4,39.0,4.0,5.3,1,0.0,0.1,0.1,0.59,2,False,5,3,1,0.0,0.033,4.2700000000000005,2.2700000000000005,-2.2700000000000005,28
38,Hause,Aston Villa,4.4,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,6,3,4,0.0,0.033,0.0,0.0,0.0,28
